Gene	LINC1KD-1-D2-NTC_ATCACG_L008	LINC1KD-2-D2-658_CGATGT_L008	LINC1KD-3-D3-NTC_TTAGGC_L008	LINC1KD-4-1D3-658_TGACCA_L008	LINC1KD-5-2D3-NTC_GCCAAT_L008	LINC1KD-6-2D3-658_TAGCTT_L008
ENSMUSG00000001891.16	327	361	250	390	255	343
ENSMUSG00000001901.15	37	8	34	37	18	27
ENSMUSG00000001909.15	3650	4885	2446	4494	3351	3756
ENSMUSG00000001910.4	13936	14041	8900	12961	10693	9859
ENSMUSG00000001911.16	73	44	12	6	25	34
ENSMUSG00000001918.17	934	1185	525	832	921	1015
ENSMUSG00000001924.15	12053	13545	9570	14084	10641	13375
ENSMUSG00000001930.17	165	89	72	76	108	104
ENSMUSG00000001942.8	53	125	126	50	54	67
ENSMUSG00000001943.8	82	113	100	111	77	71
ENSMUSG00000001946.14	222	269	189	344	158	208
ENSMUSG00000001948.10	2	14	3	19	11	14
ENSMUSG00000001962.8	549	613	562	873	736	721
ENSMUSG00000001964.14	2243	1577	1613	1995	2088	1973
ENSMUSG00000001983.7	362	391	247	346	338	493
ENSMUSG00000001985.9	2283	1634	1493	1181	1470	696
ENSMUSG00000001986.16	1	10	16	20	6	11
ENSMUSG00000001988.9	28	3	0	0	1	8
ENSMUSG00000001995.9	1673	1945	1344	1623	1319	1207
ENSMUSG00000001998.15	416	429	318	368	336	497
ENSMUSG00000001999.15	84	115	53	65	85	108
ENSMUSG00000002006.12	3094	3505	2868	4394	2417	3357
ENSMUSG00000002007.5	0	0	0	0	1	0
ENSMUSG00000002010.17	2157	2345	1389	2282	1620	2093
ENSMUSG00000002012.13	54	17	43	57	32	15
ENSMUSG00000002014.12	1508	1793	907	2075	1337	1883
ENSMUSG00000002015.5	1296	1970	1385	1994	1379	1670
ENSMUSG00000002017.9	639	785	632	803	602	802
ENSMUSG00000002020.15	27	0	2	16	7	33
ENSMUSG00000002028.13	2179	2181	1669	1753	1213	1106
ENSMUSG00000002031.12	1001	1154	716	913	885	1065
ENSMUSG00000002032.17	16	0	9	9	16	3
ENSMUSG00000002033.14	0	0	0	0	0	0
ENSMUSG00000002043.17	135	162	85	114	148	146
ENSMUSG00000002052.6	7253	7642	6878	7630	6369	5779
ENSMUSG00000002055.9	1675	1995	1318	2084	1593	1918
ENSMUSG00000002057.4	0	0	0	0	0	0
ENSMUSG00000002058.13	405	467	272	421	438	464
ENSMUSG00000002059.18	332	374	353	443	416	438
ENSMUSG00000002064.10	239	442	356	528	486	588
ENSMUSG00000002068.16	4660	6651	4792	8092	4784	7128
ENSMUSG00000002076.11	1107	979	938	1214	838	974
ENSMUSG00000002083.13	624	673	469	710	937	863
ENSMUSG00000002100.15	16	6	66	47	35	7
